"Date","Price","Open","High","Low","Change %"
"Oct 30, 2018","25.5128","25.6908","25.7247","25.4190","-0.60%"
"Oct 29, 2018","25.6656","24.8346","25.7599","24.7917","3.18%"
"Oct 28, 2018","24.8742","24.8048","24.8799","24.8048","0.11%"
"Oct 26, 2018","24.8475","24.9910","25.0948","24.8026","-0.53%"
"Oct 25, 2018","24.9810","25.2527","25.2945","24.8592","-1.10%"
"Oct 24, 2018","25.2585","25.0650","25.3021","24.8869","0.82%"
"Oct 23, 2018","25.0540","25.1611","25.2999","25.0026","-0.41%"
"Oct 22, 2018","25.1582","25.1667","25.2318","25.0343","-0.20%"
"Oct 21, 2018","25.2092","25.2793","25.2795","25.1632","0.10%"
"Oct 19, 2018","25.1849","24.9402","25.2854","24.8648","1.00%"
"Oct 18, 2018","24.9353","24.7513","25.0491","24.6987","0.70%"
"Oct 17, 2018","24.7611","24.7333","24.7995","24.6618","0.14%"
"Oct 16, 2018","24.7274","24.7707","24.9310","24.7039","-0.22%"
"Oct 15, 2018","24.7826","24.7797","24.8362","24.6774","0.17%"
"Oct 14, 2018","24.7407","24.6866","24.7428","24.6704","-0.28%"
"Oct 12, 2018","24.8100","25.1276","25.1367","24.7887","-1.23%"
"Oct 11, 2018","25.1184","25.2798","25.3837","25.0061","-0.64%"
"Oct 10, 2018","25.2794","25.0252","25.2973","24.9518","1.01%"
"Oct 09, 2018","25.0262","24.7944","25.0515","24.7416","0.93%"
"Oct 08, 2018","24.7958","24.6705","24.8118","24.5094","0.64%"
"Oct 07, 2018","24.6380","24.6889","24.7000","24.6300","-0.27%"
"Oct 05, 2018","24.7056","24.8751","24.9487","24.6482","-0.66%"
"Oct 04, 2018","24.8708","24.6493","24.9951","24.6116","0.92%"
"Oct 03, 2018","24.6442","24.3941","24.6780","24.3094","1.02%"
"Oct 02, 2018","24.3947","24.4042","24.4735","24.2819","-0.08%"
"Oct 01, 2018","24.4134","24.3915","24.4543","24.1401","0.26%"
"Sep 30, 2018","24.3507","24.3549","24.3710","24.3323","-0.17%"
"Sep 28, 2018","24.3910","24.5874","24.6293","24.3583","-0.73%"
"Sep 27, 2018","24.5708","24.8054","24.8910","24.5500","-0.97%"
"Sep 26, 2018","24.8103","25.0600","25.0987","24.8012","-0.91%"
"Sep 25, 2018","25.0372","24.8866","25.0974","24.8045","0.59%"
"Sep 24, 2018","24.8895","24.5980","24.8914","24.5722","0.97%"
"Sep 23, 2018","24.6510","24.6534","24.6560","24.6134","0.10%"
"Sep 21, 2018","24.6269","24.9688","25.0431","24.5585","-1.41%"
"Sep 20, 2018","24.9791","24.6885","25.0500","24.6598","1.22%"
"Sep 19, 2018","24.6792","24.7291","24.7790","24.5349","-0.20%"
"Sep 18, 2018","24.7281","24.7802","24.8772","24.6050","-0.24%"
"Sep 17, 2018","24.7879","24.6760","24.8350","24.6609","0.38%"
"Sep 16, 2018","24.6936","24.6688","24.7001","24.6565","0.05%"
"Sep 14, 2018","24.6804","24.6883","24.7590","24.6140","-0.03%"
"Sep 13, 2018","24.6873","24.8151","24.8973","24.6394","-0.51%"
"Sep 12, 2018","24.8144","25.0061","25.0191","24.7934","-0.79%"
"Sep 11, 2018","25.0112","25.1033","25.1866","24.9377","-0.37%"
"Sep 10, 2018","25.1041","24.9907","25.2198","24.9224","0.46%"
"Sep 09, 2018","24.9897","24.9920","24.9994","24.9559","0.07%"
"Sep 07, 2018","24.9715","24.8168","25.0191","24.7405","0.66%"
"Sep 06, 2018","24.8084","24.9585","25.1425","24.7574","-0.63%"
"Sep 05, 2018","24.9647","24.9426","25.2969","24.9068","0.07%"
"Sep 04, 2018","24.9461","24.6969","24.9817","24.6777","0.98%"
"Sep 03, 2018","24.7048","24.7396","24.8021","24.5975","0.03%"
"Sep 02, 2018","24.6972","24.6544","24.7279","24.6544","-0.18%"
"Aug 31, 2018","24.7408","24.8805","24.9995","24.7106","-0.52%"
"Aug 30, 2018","24.8705","24.6952","24.9589","24.6732","0.72%"
"Aug 29, 2018","24.6923","24.5736","24.8535","24.4351","0.49%"
"Aug 28, 2018","24.5731","24.2016","24.6146","24.1594","1.57%"
"Aug 27, 2018","24.1944","24.2650","24.2844","23.9826","0.18%"
"Aug 26, 2018","24.1515","24.1621","24.1968","24.1515","-0.63%"
"Aug 24, 2018","24.3037","24.3850","24.5011","24.1902","-0.25%"
"Aug 23, 2018","24.3654","24.1893","24.3764","24.1150","0.76%"
"Aug 22, 2018","24.1806","24.4516","24.5175","24.1726","-1.13%"
"Aug 21, 2018","24.4563","24.3226","24.4793","24.2310","0.55%"
"Aug 20, 2018","24.3217","24.0713","24.4100","24.0236","0.99%"
"Aug 19, 2018","24.0826","24.0761","24.1101","24.0685","-0.05%"
"Aug 17, 2018","24.0938","24.1381","24.3673","24.0070","-0.21%"
"Aug 16, 2018","24.1442","24.3036","24.3810","24.0803","-0.64%"
"Aug 15, 2018","24.3005","24.0272","24.4646","23.9724","1.13%"
"Aug 14, 2018","24.0281","24.4244","24.4569","23.9914","-1.57%"
"Aug 13, 2018","24.4124","24.1379","24.7322","24.0996","0.27%"
"Aug 12, 2018","24.3456","24.3379","24.3753","24.2532","0.83%"
"Aug 10, 2018","24.1462","23.9699","24.2844","23.9635","0.73%"
"Aug 09, 2018","23.9716","23.8020","24.0863","23.7511","0.75%"
"Aug 08, 2018","23.7935","23.8844","23.9262","23.7194","-0.37%"
"Aug 07, 2018","23.8827","23.9613","24.0181","23.8436","-0.36%"
"Aug 06, 2018","23.9701","24.1443","24.1794","23.8977","-0.75%"
"Aug 05, 2018","24.1504","24.1465","24.1511","24.1247","0.07%"
"Aug 03, 2018","24.1342","24.2819","24.3564","24.1119","-0.60%"
"Aug 02, 2018","24.2801","24.3996","24.5843","24.2318","-0.49%"
"Aug 01, 2018","24.3986","24.4774","24.5583","24.3478","-0.33%"
"Jul 31, 2018","24.4782","24.3536","24.5176","24.3055","0.53%"
"Jul 30, 2018","24.3488","24.3814","24.4840","24.2980","-0.27%"
"Jul 29, 2018","24.4144","24.4172","24.4326","24.3945","-0.04%"
"Jul 27, 2018","24.4245","24.4259","24.4934","24.3004","0.03%"
"Jul 26, 2018","24.4175","24.6237","24.7062","24.3965","-0.83%"
"Jul 25, 2018","24.6207","24.8132","24.8533","24.6066","-0.80%"
"Jul 24, 2018","24.8184","24.7459","24.9171","24.6682","0.32%"
"Jul 23, 2018","24.7401","24.9914","25.1495","24.7067","-1.08%"
"Jul 22, 2018","25.0110","24.9790","25.0222","24.9695","0.10%"
"Jul 20, 2018","24.9861","24.7963","25.1217","24.7209","0.77%"
"Jul 19, 2018","24.7963","24.6980","24.8637","24.6456","0.38%"
"Jul 18, 2018","24.7015","24.7677","24.8695","24.5665","-0.29%"
